"id","date","state","city","department","victim_number","victim_weight","reported_pitbull","actual_breed","source","source2","source3","victim_name","officer_name","seizure","survival","children","hospitalization","hospitalization_police_injury","arrest","fine","uniform","warrant_or_pc","beware_of_dog","suspension","firing","lawsuit","criminal_charge"
1464,"2009-10-15","Texas","Channelview","Harris County Sheriffs Department",2,2,1,"Unconfirmed","http://www.kvue.com/story/news/local/2014/05/15/2166798/",,,"Unknown","Jason Rickamore, Lisa Heeden",2,2,2,1,0,2,2,"Uniform",0,2,2,2,2,2
1465,"2008-05-19","Texas","Breckinridge","Stephens County Sheriffs Office, Breckenridge Animal Shelter",4,2,1,"Unconfirmed","http://seattletimes.com/html/nationworld/2004424296_apdogattack.html",,,"Unknown","Unknown",1,0,1,1,0,2,2,"Uniform",3,3,0,0,0,0
1466,"2014-12-31","Texas","San Antonio","Bexar County Sheriffs Department",1,2,1,"Unconfirmed","http://www.mysanantonio.com/news/local/article/Deputy-shoots-kills-pit-bull-in-Northeast-Bexar-5988784.php",,,"Gangster","Unknown",2,0,2,0,2,2,2,"Not Sure",1,3,2,2,2,0
1467,"2011-11-27","North Carolina","Grifton","Grifton Police Department",1,2,1,"Unconfirmed","http://www.wcti12.com/Pit-Bull-Owner-Charged-From-Dog-Attack-on-Woman-Police-Officer/13625842",,,"Patches","James Andrews",1,0,2,1,0,1,1,"Uniform",2,2,0,0,0,0
1468,"2006-12-28","Texas","Merkel","Merkel Police Department",2,2,1,"Unconfirmed","http://www.kwtx.com/home/headlines/5037546.html",,,"Unknown","Police Chief Bob Jones",1,0,2,1,0,0,2,"Uniform",1,2,0,0,0,0
1469,"2009-05-04","Texas","Midlothian","Midlothian Police Department, Midlothian Animal Control ",1,2,0,"Unconfirmed","https://midlothiantexas.wordpress.com/2009/05/04/update-cops-dog-euthanized-by-midlothian-police/",,,"Hunter","Kelli Jackson, Alan Romero",1,0,2,0,0,0,2,"Uniform",0,2,2,2,2,0
1470,"2013-10-17","Virginia","Richmond","Richmond Police Department, Richmond Animal Care &amp; Control",2,2,1,"Unconfirmed","http://wtvr.com/2013/10/17/police-shoot-dogs-at-bus-stop/",,,"Unknown","Unknown",1,0,1,1,0,1,1,"Uniform",3,3,2,2,2,2
1471,"2005-08-04","Illinois","Chicago","Hickory Hills Police Department",1,100,0,"Rottweiler and Bull Mastiff mix","http://www.triblocal.com/hinsdale/community/stories/2009/02/dog-owner-loses-civil-rights-lawsuit-in-police-shooting-of-dog/",,,"Hooch","Ryan Bajt - shooter, unknown detectives",2,0,1,0,0,0,2,"Uniform",2,1,0,0,1,0
1472,"2008-09-28","Texas","Anson","Anson Police Department",2,2,1,"one dog, one goat","http://www.reporternews.com/news/big-country/anson-officials-refute-cruelty-allegations",,,"Unknown","City Manager Dowell Matthews, unidentified police officer,",1,0,0,0,0,3,3,"Uniform",1,2,0,0,2,0
1473,"2008-08-08","Texas","Amarillo","Amarillo Police Department",1,2,1,"Unconfirmed","http://amarillo.com/stories/080908/new_news6.shtml",,,"Unknown","Unknown",0,2,2,0,0,0,0,"Uniform",2,2,2,2,2,2
1474,"2012-12-12","Oklahoma","Hooker","Texas County Sheriffs Office, City of Hooker Police Department",2,30,0,"Unconfirmed","http://amarillo.com/oklahoma/2013-03-12/hooker-okla-city-leader-faces-charges-shooting-dogs",,,"Birddog and Speckie","Hooker City Superintendent Forest Frosty Osborne",2,0,2,0,0,3,3,"Plain Clothes",2,3,0,0,0,1
1475,"2006-07-31","Texas","Amarillo","Amarillo Police Department",1,2,0,"Unconfirmed","http://amarillo.com/stories/081806/new_5368327.shtml",,,"Unknown","Unknown",1,0,2,0,0,3,3,"Uniform",0,3,2,0,0,0
